100	1.2
0.000000	0.000000	0.000000
savinase_r.pdb	11.717	15.983	8.021
BASI_l.pdb	65.141	71.197	130.466
0.000000	1.506530	1.988858	88	87	18	17.64
-0.785398	1.413347	-1.339188	82	91	84	17.54
-2.617994	1.869911	2.701025	8	24	0	17.42
-2.094395	2.724429	-0.348782	94	80	90	17.30
-2.356194	1.128190	-2.288622	13	3	24	17.26
-3.141593	1.391910	3.030322	21	14	1	17.18
2.617994	1.766067	2.153843	17	10	15	17.08
0.261799	2.979456	-1.009304	92	26	7	17.06
-0.785398	1.325504	-1.671296	93	87	81	17.02
1.832596	2.089241	-0.114193	7	24	99	17.00
-1.832596	1.736875	3.023612	96	24	97	16.96
0.523599	1.214854	-1.966664	91	88	79	16.60
-1.047198	2.979456	-1.009304	85	81	96	16.54
-2.879793	2.456751	-1.503343	20	83	12	16.40
1.308997	1.574060	2.783565	88	91	23	16.38
2.094395	2.984978	1.954446	88	83	88	16.34
-1.047198	1.982574	-1.115518	80	87	13	16.30
1.832596	0.370812	-2.547742	19	84	10	16.28
-1.570796	0.906588	1.252948	84	20	7	16.26
2.879793	2.379497	0.561089	88	22	1	16.20
-2.356194	1.504028	0.636812	81	3	17	16.20
-1.570796	2.478122	2.609777	82	16	90	16.20
2.879793	2.587733	0.232235	93	24	0	16.18
-3.141593	1.413430	2.550734	22	12	2	16.16
0.785398	1.168678	2.108595	87	83	88	16.08
0.000000	1.875281	0.107086	19	81	99	16.06
2.879793	0.615174	-0.666022	88	92	22	16.02
0.261799	2.073035	2.027405	91	78	8	15.96
0.785398	0.571433	-1.188419	25	98	0	15.92
2.879793	2.001437	0.381215	23	10	4	15.90
-2.356194	1.846342	-1.796954	23	7	84	15.90
-1.047198	1.433411	-1.035986	96	84	81	15.80
0.261799	0.615174	-0.666022	1	97	72	15.76
2.879793	1.413430	2.550734	21	6	11	15.74
-1.047198	1.741644	-2.695914	4	76	90	15.74
1.570796	1.045978	0.343692	91	81	88	15.66
-1.832596	1.809167	1.213774	96	23	88	15.64
-0.261799	0.709924	0.218797	94	26	94	15.62
1.832596	0.080730	-2.622036	91	82	86	15.58
-2.879793	0.709924	0.218797	14	94	22	15.56
1.308997	1.413347	-1.339188	18	96	77	15.54
-0.785398	1.488617	1.159546	27	2	93	15.50
1.047198	2.001437	0.381215	24	5	0	15.46
-0.523599	1.168678	2.108595	78	5	13	15.44
1.047198	1.741644	-2.695914	94	24	90	15.42
-1.308997	1.134497	-1.109631	81	85	95	15.40
1.047198	0.370812	-2.547742	21	9	10	15.36
1.832596	0.591903	2.010408	71	1	7	15.34
2.617994	2.478122	2.609777	24	98	89	15.32
-2.617994	1.909857	-0.381669	88	85	83	15.24
2.356194	1.736875	3.023612	25	93	93	15.18
1.570796	0.914445	2.687814	24	9	91	15.12
-3.141593	0.685216	-1.712745	90	22	94	15.10
-2.879793	1.875281	0.107086	90	79	92	15.10
-2.879793	1.218453	2.777284	17	17	4	15.10
0.523599	2.760637	2.781135	85	82	94	15.10
-0.261799	2.664082	-1.071402	11	7	75	15.10
1.047198	1.374601	-2.456031	76	85	0	15.08
2.094395	1.606104	-0.451151	4	24	95	15.06
1.047198	2.356369	3.005869	86	89	83	15.06
2.094395	1.218453	2.777284	21	85	3	15.04
2.617994	1.242974	-2.977882	92	91	24	15.02
-2.617994	1.128190	-2.288622	14	1	24	15.02
-2.356194	2.704512	1.488683	91	23	98	15.02
1.047198	0.615174	-0.666022	89	83	88	15.02
-1.570796	1.732874	-0.951685	97	88	77	15.00
-1.308997	2.356369	3.005869	80	12	87	14.96
-1.047198	1.242974	-2.977882	12	93	24	14.96
-1.570796	1.488617	1.159546	86	86	83	14.94
1.570796	0.762244	-0.273349	0	2	71	14.94
1.308997	2.001437	0.381215	22	11	0	14.94
-1.308997	1.977582	0.969896	87	82	84	14.94
